stock,"d = 2, c = 1000","d = 3, c = 1000","d = 4, c = 1000","d = 5, c = 1000","d = 6, c = 1000","d = 7, c = 1000","d = 8, c = 1000","d = 9, c = 1000","d = 10, c = 1000","d = 11, c = 1000","d = 12, c = 1000"
AAPL,12.081255499999727,-8.334235666666714,12.876874249999872,-5.8835106000001245,22.412060833333285,6.498207571428531,8.020931374999977,10.093592555555599,5.415752899999966,11.347061727272694,1.0568780833333251
AMZN,83.09575249999986,78.41753100000007,15.233869749999972,25.68270300000008,1.7302835000000725,20.7166635714286,7.630439125000008,7.348962555555513,19.202541300000007,4.73849281818181,16.037539916666685
GOOGL,17.60998700000028,6.215635333333495,6.81173850000005,-13.544402399999957,2.5929916666667268,-12.084581428571378,-3.9816177500000105,1.0042111111111436,-4.882103199999979,-1.2358096363636006,-4.698423499999979
JNJ,8.78006050000009,18.60668166666673,10.225007750000074,3.2880114000001073,1.0433721666667044,12.051409571428662,5.4800186249999925,-0.43331566666671506,0.04600850000000782,6.550914454545472,-0.5983375833333303
KO,-3.1500345000000065,7.179999000000012,-5.715028249999962,0.5519937999999897,0.42331550000001883,-2.2857264285714396,0.3974928749999877,-2.5000112222222137,2.217994300000013,2.0018144545454577,2.368326750000003
META,-49.6948725000001,10.169913000000074,14.23244024999996,-32.23401460000002,-14.41167516666665,24.97290757142868,-40.71626362499994,7.627799000000045,-21.157010100000083,-14.73723190909094,7.342502916666689
MSFT,174.36504349999953,28.48339233333304,9.39742374999998,14.401968999999934,-0.8983425000000255,25.53858957142852,-9.488751124999983,-6.823319444444435,18.24900810000002,9.920920636363626,0.6291607500000088
PG,55.31509599999989,19.703370666666476,20.177539,13.918027200000003,23.521714333333296,3.932899142857181,16.923738999999987,8.741087555555596,1.911048399999963,6.2463430909091215,3.8508488333333717
V,17.020029000000136,-14.31338866666664,-20.944931999999937,-25.9400303999999,-17.473383999999953,-36.831438857142885,-15.839985250000012,-14.535531333333331,-8.523992800000013,-1.7581794545454736,3.308307333333327
WMT,-44.97996649999998,-22.253245666666672,-2.655005749999983,3.1760225999999845,-4.970004833333365,-5.74857385714285,8.300012125000018,-11.411114111111104,-2.1700008999999696,-3.650908090909071,-2.364995083333344
