Size,Precision,Year 1 Balance,Year 2 Balance,Year 3 Balance
10,49.1869918699187,-51.55984199999986,-31.54989899999984,-55.76989700000007
15,50.40650406504065,-29.74000200000009,-20.550081000000347,-9.470091000000195
20,49.05149051490515,-12.159975999999943,-33.110044999999985,-29.890096999999912
25,48.98236092265943,-44.23989599999999,-9.089960999999846,-20.1897910000001
30,47.5609756097561,-50.93992600000024,-31.709946999999943,-7.329969000000148
35,49.525101763907735,-30.720000000000084,-47.110098999999934,-60.770041000000134
40,48.43962008141113,-39.47994800000009,-40.62996100000015,-16.409863000000286
45,49.66078697421981,-11.700016000000005,-17.71010100000018,-9.530167000000262
50,47.35413839891452,-54.29998800000001,-44.84994099999986,-15.029990999999882
55,45.99728629579376,21.379920000000055,27.589976999999948,61.82994300000013
60,47.76119402985074,17.040011999999848,40.39004299999968,44.43013699999966
65,48.43962008141113,-8.979908000000052,-4.449847000000119,1.4502470000000471
70,51.153324287652644,-19.33989400000013,-15.849817000000087,-11.889703000000196
75,49.66078697421981,4.079991999999692,40.06995299999946,-15.189935000000673
80,50.271002710027105,-64.89996600000003,-45.50991900000011,-57.16982900000016
85,49.66078697421981,-15.040029999999945,-1.650045000000091,-4.989889000000261
90,52.37449118046133,-57.09996400000003,-59.86991300000025,-86.28980700000045
95,52.103120759837175,-25.700013999999925,-27.969884999999948,-93.489845
100,53.86702849389417,-90.55992999999995,-91.90987500000023,-130.94964100000064
